Full Name,Political Party,Party Short,Twitter,Notes
Ali Haydar HAKVERDİ,Cumhuriyet Halk Partisi,CHP,https://twitter.com/ahhakverdi,Ankara
Sefer AYCAN,Milliyetçi Hareket Partisi,MHP,https://twitter.com/seferaycan,Kahramanmaraş
Ali ÖZKAYA,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/avaliozkaya,Afyonkarahisar
Mücahit DURMUŞOĞLU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mdurmusoglu,Osmaniye
Metin ÇELİK,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/avmetincelik,Kastamonu
Özkan YALIM,Cumhuriyet Halk Partisi,CHP,https://twitter.com/ozkan_yalim,Uşak
Leyla ŞAHİN USTA,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/leylasahinusta,Konya
Ziya ALTUNYALDIZ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ZiyaAltunyaldiz,Konya
İshak GAZEL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/av_ishakgazel,Kütahya
Murat BAYBATUR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/BaybaturMurat,Manisa
İbrahim AYDEMİR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/_ibrahimaydemir,Erzurum
Mustafa AÇIKGÖZ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/kulmustafa77_ac,Nevşehir
Muhammet BALTA,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/muhammetbalta61,Trabzon
Adnan GÜNNAR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/adnangunnar,Trabzon
Süleyman SOYLU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/suleymansoylu,İstanbul
Vecdi GÜNDOĞDU,Cumhuriyet Halk Partisi,CHP,https://twitter.com/VecdiGundogdu,Kırklareli
Ali İhsan ARSLAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ali_ihsanarslan,Ankara
Burcu KÖKSAL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/Av_Burcu03,Afyonkarahisar
Seyit TORUN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/Seyit_TORUN,Ordu
Mustafa ADIGÜZEL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/drmadiguzel,Ordu
Berat ALBAYRAK,Adalet ve Kalkınma Partisi,AKP,,İstanbul
Erdin BİRCAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/erdinbircan,Edirne
Hakkı Saruhan OLUÇ,Halkların Demokratik Partisi,HDP,,İstanbul
Abdullah AĞRALI,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/agral_abdullah,Konya
Hacı Ahmet ÖZDEMİR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/haozdemir,Konya
Recep UNCUOĞLU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/uncuoglurecep,Sakarya
Zehra TAŞKESENLİOĞLU BAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ZTaskesenlioglu,Erzurum
Halis DALKILIÇ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/halisdalkilic,İstanbul
İmam TAŞÇIER,Halkların Demokratik Partisi,HDP,https://twitter.com/ImamTascier,Diyarbakır
Halil ETYEMEZ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/haliletyemez,Konya
Rıdvan TURAN,Halkların Demokratik Partisi,HDP,https://twitter.com/DrRidvanTuran,Mersin
Okan GAYTANCIOĞLU,Cumhuriyet Halk Partisi,CHP,https://twitter.com/okangaytanciogl,Edirne
Ayşe KEŞİR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/aysekesir,Düzce
Saffet SANCAKLI,Milliyetçi Hareket Partisi,MHP,https://twitter.com/saffetsancakli,Kocaeli
Mevlüt KARAKAYA,Milliyetçi Hareket Partisi,MHP,https://twitter.com/KarakayaMevlut,Ankara
Türabi KAYAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/TurabiKayan,Kırklareli
Gülizar BİÇER KARACA,Cumhuriyet Halk Partisi,CHP,https://twitter.com/GulizarBicer,Denizli
İbrahim Halil FIRAT,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/AvHalilFirat,Adıyaman
Mustafa YENEROĞLU,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/myeneroglu,İstanbul
Nihat YEŞİL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/ChpNihatYesil,Ankara
Arzu ERDEM,Milliyetçi Hareket Partisi,MHP,https://twitter.com/arzuerdemDB,İstanbul
Utku ÇAKIRÖZER,Cumhuriyet Halk Partisi,CHP,https://twitter.com/utkucakirozer,Eskişehir
Ahmet AKIN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/ahmetakin,Balıkesir
Sena Nur ÇELİK,Adalet ve Kalkınma Partisi,AKP,,Antalya
İsmail Faruk AKSU,Milliyetçi Hareket Partisi,MHP,https://twitter.com/ifarukaksu,İstanbul
Emine YAVUZ GÖZGEÇ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/Emine_Gozgec16,Bursa
Lütfiye Selva ÇAM,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/selvacam,Ankara
Abdulhamit GÜL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/abdulhamitgul,Gaziantep
Mustafa YEL,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/MustafaYel59,Tekirdağ
Ahmet Eşref FAKIBABA,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/aefakibaba,Şanlıurfa
Kadri Enis BERBEROĞLU,Cumhuriyet Halk Partisi,CHP,https://twitter.com/EnisBerberoglu1,İstanbul
Çetin ARIK,Cumhuriyet Halk Partisi,CHP,https://twitter.com/DrCetinArik,Kayseri
Tahsin TARHAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/tahsintarhan,Kocaeli
Baki ŞİMŞEK,Milliyetçi Hareket Partisi,MHP,https://twitter.com/bakisimsekmhp,Mersin
Fatma KAPLAN HÜRRİYET,Cumhuriyet Halk Partisi,CHP,https://twitter.com/fatmakaplan,Kocaeli
